2026-02-01 00:00:22 | INFO | api | File uploaded id=file_42n90n139u bytes=8474293 (env=staging, region=me-south-1, ip=253.36.219.1, request_id=wdpduslkusn81kf7, trace_id=6u1ojwpg3jkcatp4kydeh3bv, ua="PostmanRuntime/7.36.0")
2026-02-01 00:00:23 | INFO | api | Token refreshed user_id=3644 (env=prod, region=us-east-1, ip=234.51.243.131, request_id=qvs7duehcup3uz2y, trace_id=9vhqzxi6ry80ywxh2kk2wd2z, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:00:24 | INFO | api | Metrics pushed cpu=80% mem=79% (env=prod, region=ap-southeast-1, ip=195.171.185.14, request_id=b85i1j4cb2kyx8j1, trace_id=pbefvc2vp18y0viiljlm7tq3, ua="PostmanRuntime/7.36.0")
2026-02-01 00:00:35 | INFO | api | Token refreshed user_id=1707 (env=prod, region=eu-west-1, ip=34.183.54.164, request_id=mztuw1877umm246b, trace_id=ytcvggm8u5umsyz50cdi40xc, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:00:43 | INFO | api | Batch processed records=4950 duration_ms=1360 (env=staging, region=us-east-1, ip=248.88.54.129, request_id=fi5octlstbnce3fy, trace_id=w8ml6b5oc2r785sa9w4rtrw1, ua="curl/8.4.0")
2026-02-01 00:01:05 | INFO | api | User logout success user_id=7419 (env=staging, region=me-south-1, ip=33.7.46.117, request_id=zi7ayfazr06hnpiq, trace_id=azh98otmt7gbfrh9yv88o1xm, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:02:42 | INFO | api | Cache miss key=cart:4386 (env=dev, region=us-east-1, ip=78.203.123.206, request_id=wqyuptk0rgxj4a9m, trace_id=h2vkusqpfw3qjr5yo02p2jxw, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:03:07 | INFO | api | User logout success user_id=3488 (env=prod, region=eu-west-1, ip=163.239.92.109, request_id=hslbnh5dqskb05ig, trace_id=hyx6ndq6ybltd2il9e4lct5t, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:03:41 | INFO | api | Token refreshed user_id=7020 (env=prod, region=me-south-1, ip=254.178.38.164, request_id=m0ckz4izso9e0cvu, trace_id=cnyvt5155ofiegb07ob61svv, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:04:11 | INFO | api | PUT /token/refresh 400 (138ms) (env=dev, region=me-south-1, ip=144.71.7.132, request_id=eqbl8gckt2u39paz, trace_id=fi3v0lrnjexamgpjf7ah08md, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:05:57 | INFO | api | User login success user_id=8077 (env=prod, region=eu-west-1, ip=91.4.17.137, request_id=cz73oqwb9mxaljkf, trace_id=xw0knc2jsy64jz99ren67ot5, ua="curl/8.4.0")
